TextToOnto,Skecth,Our
data,web,web
web,ontology,data
ontology,semantic,ontology
query,ontologies,information
user,query,query
service,owl,knowledge
system,rdf,semantics
set,semantics,rdf
information,proceedings,ontologies
model,sparql,results
concept,dataset,model
results,semantics,number
knowledge,triples,section
graph,ontology,science
example,datasets,system
owl,node,world
rdf,metadata,queries
semantics,dbpedia,language
type,xml,search
class,agents,users
approach,database,graph
language,annotation,domain
time,mappings,table
properties,acm,concepts
section,wide,service
number,queries,class
rule,springer,research
value,algorithm,sparql
map,http,conference
science,user,user
domain,computer,concept
process,annotations,org
entity,uris,order
world,rdf,terms
soruce,constraints,properties
agent,uri,systems
search,wikipedia,dataset
work,algorithms,owl
instance,query,reasoning
table,workflow,process
case,predicate,evaluation
application,w3c,paper
term,rdfs,instance
relation,nodes,description
resource,graphs,time
node,online,property
algorithm,api,rules
dataset,ieee,sources
http,databases,resources
task,software,content
triple,rdfs,applications
description,technologies,classes
proccedings,url,context
pattern,axioms,algorithm
page,iswc,values
order,subset,pages
evaluation,entailment,value
conference,ontologies,entities
method,sameas,entity
context,provenance,types
computation,users,services
research,retrieval,type
tool,predicates,resource
reason,web,datasets
object,overview,triples
annotation,reuse,source
database,strategies,dbpedia
link,logics,approach
problem,foaf,application
feature,sql,relations
documents,algorithm,analysis
level,reasoner,approaches
function,keyword,mapping
name,endpoint,nodes
form,server,university
paper,tags,representation
content,user,metadata
engine,benchmark,tools
logic,knowledge,work
operation,functionality,database
sparql,skos,problem
part,wordnet,framework
step,metrics,models
structure,datalog,result
way,learning,level
text,identifiers,relation
question,datatype,links
representation,data,features
reference,html,documents
experiment,logic,methods
elements,elsevier,structure
label,int,cases
match,e-mail,performance
analysis,owl,patterns
interface,resource,schema
framework,skos,annotation
vocabulary,domain,instances
list,framework,similarity
similar,schema,quality
author,reasoners,use